,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Kelsey Tamakloe,Protest video shows “resistance” to “President Macron’s plan for mandatory COVID vaccinations of all French citizens.”,Facebook posts,"July 16, 2021",false,FAKE,0
1,Katie Sanders,An image shows President Joe Biden touching Olivia Rodrigo’s shoulders during a White House press briefing.,Viral image,"July 16, 2021",pants-fire,FAKE,0
2,Brandon Mulder,"""There is clear legal authority to handcuff and put in leg irons legislators that are trying to stop the legislature from being able to do business.""",Ted Cruz,"July 16, 2021",false,FAKE,0
3,Sasha Hupka,"“Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.”",Facebook posts,"July 16, 2021",false,FAKE,0
4,Monique Curet,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,Facebook posts,"July 15, 2021",false,FAKE,0
5,Tom Kertscher,"""The government will be infiltrating” personal text messages.",Facebook posts,"July 15, 2021",false,FAKE,0
6,Amy Sherman,"New and proposed state laws on voting mean “if you are going to be standing in that line for all those hours, you can’t have any water or any food.”",Kamala Harris,"July 15, 2021",barely-true,FAKE,0
7,Kelsey Tamakloe,"Post says a recent bill passed, and “We get another stimulus check for $2500 at July 30, 2021”",Facebook posts,"July 15, 2021",pants-fire,FAKE,0
8,Jason Asenso,Federal agents are going “door-to-door coercing people to be injected with experimental drugs.”,Instagram posts,"July 15, 2021",barely-true,FAKE,0
9,Monique Curet,Carbon dioxide “is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.”,Facebook posts,"July 15, 2021",false,FAKE,0
10,Paul Specht,Says “showing up at the front doors of people’s houses and violating HIPAA laws by requesting private medical information regarding their vaccination status is unacceptable and illegal.”,Mark Robinson,"July 14, 2021",false,FAKE,0
11,Tom Kertscher,"Says in February Facebook post that ""Britney won.""",Facebook posts,"July 14, 2021",barely-true,FAKE,0
12,Kelsey Tamakloe,“BREAKING: Pennsylvania initiated a FULL audit of the RIGGED ELECTION”,Facebook posts,"July 14, 2021",false,FAKE,0
13,Paul Specht,“Over 75% of (North Carolina) supports medical marijuana.”,Wiley Nickel,"July 14, 2021",half-true,FAKE,0
14,Samantha Putterman,A bodyguard of a high-ranking Democrat in Congress fired the shot that killed Ashli Babbitt on Jan. 6.,Facebook posts,"July 14, 2021",false,FAKE,0
15,Gabrielle Settles,“There were no guns whatsoever” at the Capitol riot on Jan. 6.,Donald Trump,"July 13, 2021",false,FAKE,0
16,Louis Jacobson,"""In 2020, more people voted in America than ever in the history of America, in the middle of a once-in-a-century pandemic.""",Joe Biden,"July 13, 2021",mostly-true,FAKE,0
17,Ciara O'Rourke,Says CNN reported that Joe Biden authorized “a U.S. intervention in Haiti after the assassination of President Jovenel Moïse.”,Viral image,"July 13, 2021",false,FAKE,0
18,Samantha Putterman,Says this crowd video shows the ongoing protests in Cuba.,Tweets,"July 13, 2021",false,FAKE,0
19,Ciara O'Rourke,Says Haitian President Jovenel Moïse was going to “expose Clinton Foundation fraud” before he was assassinated.,Viral image,"July 13, 2021",pants-fire,FAKE,0
20,Tom Kertscher,Says Facebook imposes a 7% limit on a user’s sharing.,Viral image,"July 13, 2021",false,FAKE,0
21,Samantha Putterman,"Haiti, Tanzania and Madagascar refused the COVID-19 vaccines and now all three of their presidents have died unexpectedly.",Facebook posts,"July 12, 2021",false,FAKE,0
22,Ciara O'Rourke,“Lauren Boebert received a PPP loan for her restaurant.”,Facebook posts,"July 12, 2021",false,FAKE,0
23,Kelsey Tamakloe,"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000.",Instagram posts,"July 12, 2021",false,FAKE,0
24,Emily Tian,Sudden Infant Death Syndrome “is absolutely a side effect of vaccination.”,Instagram posts,"July 12, 2021",false,FAKE,0
25,Samantha Putterman,A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,Facebook posts,"July 9, 2021",false,FAKE,0
26,Jason Asenso,"“In a now deleted Telegram post, former President Trump congratulated the Navy Seals on a ‘perfect beautiful whack’"" in Haiti.",Instagram posts,"July 9, 2021",false,FAKE,0
27,Louis Jacobson,"“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”",Joe Biden,"July 9, 2021",half-true,FAKE,0
28,Jon Greenberg,"""Crime is escalating to a level we haven’t seen in decades as a direct result of Democrats’ defund the police movement and Biden-Harris open-border policies.""",Republican National Committee,"July 9, 2021",false,FAKE,0
29,Samantha Putterman,"News organizations and sponsors ignored the accomplishments of Kim Rhode, a six-time Olympic medalist, because of her support of the Second Amendment.",Facebook posts,"July 9, 2021",false,FAKE,0
